cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05
Isla de Maipo,5.0,7.0,6.0,9.0,11.0,5.0,19.0,10.0,12.0,3.0,5.0,11.0,12.0,13.0,11.0,19.0,18.0,19.0,20.0,17.0,9.0,11.0,12.0,11.0,10.0,15.0,10.0,14.0,10.0,12.0,17.0,9.0,16.0,9.0,12.0,8.0,7.0,4.0,9.0,3.0,2.0,6.0,2.0,4.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,8.0,4.0,3.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0
La Cisterna,10.0,23.0,19.0,12.0,17.0,18.0,40.0,37.0,36.0,22.0,23.0,32.0,34.0,21.0,24.0,30.0,31.0,40.0,53.0,44.0,38.0,31.0,34.0,38.0,37.0,31.0,28.0,26.0,30.0,17.0,23.0,25.0,17.0,17.0,19.0,24.0,17.0,8.0,16.0,10.0,11.0,9.0,12.0,10.0,8.0,13.0,6.0,7.0,6.0,8.0,4.0,7.0,5.0,12.0,12.0,7.0,12.0,6.0,9.0,7.0,11.0,12.0,7.0,9.0,11.0,10.0
La Estrella,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
La Florida,50.0,55.0,45.0,52.0,58.0,38.0,106.0,85.0,94.0,92.0,78.0,92.0,77.0,107.0,69.0,97.0,119.0,141.0,112.0,109.0,114.0,78.0,102.0,104.0,90.0,98.0,95.0,85.0,74.0,83.0,70.0,79.0,76.0,65.0,56.0,49.0,48.0,47.0,40.0,51.0,49.0,40.0,44.0,40.0,24.0,42.0,30.0,44.0,32.0,37.0,24.0,24.0,36.0,35.0,28.0,30.0,32.0,31.0,32.0,40.0,35.0,39.0,49.0,40.0,39.0,50.0
La Granja,17.0,15.0,15.0,16.0,12.0,12.0,47.0,43.0,24.0,33.0,41.0,33.0,39.0,41.0,33.0,42.0,37.0,50.0,49.0,49.0,48.0,40.0,34.0,49.0,45.0,44.0,39.0,38.0,31.0,27.0,27.0,20.0,27.0,26.0,24.0,20.0,7.0,15.0,11.0,12.0,12.0,11.0,14.0,7.0,10.0,6.0,6.0,15.0,12.0,9.0,8.0,7.0,11.0,5.0,9.0,4.0,7.0,4.0,8.0,6.0,5.0,7.0,6.0,4.0,3.0,3.0
La Pintana,29.0,33.0,24.0,33.0,33.0,40.0,46.0,39.0,39.0,49.0,43.0,51.0,59.0,61.0,46.0,57.0,79.0,71.0,74.0,65.0,54.0,47.0,72.0,68.0,59.0,63.0,46.0,60.0,38.0,55.0,48.0,62.0,37.0,37.0,38.0,25.0,27.0,28.0,23.0,18.0,21.0,17.0,14.0,20.0,15.0,20.0,16.0,23.0,21.0,16.0,19.0,13.0,10.0,12.0,11.0,7.0,7.0,4.0,6.0,7.0,9.0,12.0,8.0,13.0,6.0,8.0
La Reina,5.0,13.0,8.0,11.0,8.0,4.0,31.0,30.0,30.0,27.0,27.0,26.0,28.0,37.0,26.0,42.0,41.0,36.0,33.0,34.0,25.0,28.0,15.0,20.0,16.0,22.0,15.0,18.0,13.0,9.0,12.0,15.0,14.0,13.0,7.0,13.0,7.0,5.0,3.0,9.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,6.0,3.0,4.0,5.0,6.0,11.0,8.0,8.0,8.0,7.0,9.0,7.0,13.0,15.0,14.0,12.0,22.0,15.0
La Serena,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,3.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Lampa,13.0,22.0,16.0,28.0,20.0,23.0,54.0,33.0,33.0,29.0,23.0,27.0,48.0,36.0,30.0,44.0,38.0,68.0,58.0,60.0,48.0,34.0,50.0,43.0,39.0,37.0,35.0,39.0,30.0,22.0,34.0,32.0,30.0,28.0,22.0,19.0,22.0,15.0,23.0,20.0,17.0,16.0,17.0,17.0,12.0,15.0,14.0,21.0,13.0,13.0,8.0,13.0,7.0,5.0,15.0,6.0,6.0,7.0,2.0,9.0,12.0,15.0,15.0,8.0,21.0,8.0
Las Cabras,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
