cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28
Pedro Aguirre Cerda,FONASA,19.0,14.0,32.0,36.0,30.0,30.0,20.0,23.0,25.0,31.0,35.0,38.0,36.0,35.0,42.0,29.0,45.0,60.0,49.0,22.0,23.0,21.0,22.0,16.0,17.0,20.0,13.0,12.0,11.0,9.0,12.0,14.0,16.0,11.0,7.0,4.0,5.0,5.0,4.0,1.0,3.0,4.0,6.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,6.0,5.0,4.0,9.0,7.0,7.0,3.0
Pedro Aguirre Cerda,ISAPRE,1.0,1.0,2.0,2.0,3.0,8.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,2.0,7.0,11.0,9.0,1.0,1.0,2.0,2.0,4.0,3.0,5.0,2.0,3.0,,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,
Pedro Aguirre Cerda,NINGUNA,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
Pelarco,FONASA,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelluhue,FONASA,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penco,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peralillo,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peralillo,ISAPRE,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peumo,FONASA,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peñaflor,DESCONOCIDO,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,3.0,1.0,,1.0,2.0,,,1.0,2.0,5.0,3.0,1.0,1.0,,,,,,,,,2.0,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0
Peñaflor,FONASA,8.0,12.0,13.0,20.0,14.0,14.0,14.0,12.0,18.0,22.0,19.0,15.0,13.0,18.0,12.0,8.0,12.0,34.0,25.0,12.0,10.0,5.0,8.0,4.0,11.0,12.0,13.0,9.0,7.0,4.0,6.0,4.0,6.0,8.0,5.0,4.0,10.0,6.0,7.0,7.0,9.0,7.0,6.0,4.0,3.0,5.0,9.0,4.0,3.0,5.0,,,4.0,6.0,4.0,1.0,,2.0
Peñaflor,ISAPRE,1.0,1.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,5.0,7.0,5.0,4.0,4.0,2.0,1.0,3.0,9.0,5.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,
Peñaflor,NINGUNA,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peñalolén,CAPREDENA,,,,,,,,,,2.0,1.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,
Peñalolén,DESCONOCIDO,1.0,1.0,3.0,7.0,9.0,11.0,5.0,3.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,15.0,11.0,5.0,4.0,3.0,6.0,3.0,1.0,5.0,4.0,1.0,,2.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,,,,,,,,2.0,1.0,1.0,,2.0,,3.0
Peñalolén,FONASA,57.0,43.0,62.0,48.0,59.0,58.0,50.0,52.0,67.0,76.0,61.0,68.0,57.0,56.0,51.0,45.0,50.0,83.0,72.0,39.0,32.0,31.0,31.0,29.0,35.0,30.0,27.0,22.0,19.0,19.0,25.0,23.0,26.0,23.0,21.0,19.0,11.0,10.0,13.0,10.0,12.0,5.0,8.0,10.0,11.0,11.0,7.0,6.0,6.0,6.0,11.0,13.0,9.0,8.0,12.0,10.0,5.0,5.0
Peñalolén,ISAPRE,4.0,3.0,5.0,5.0,12.0,10.0,11.0,12.0,14.0,20.0,18.0,13.0,14.0,13.0,8.0,10.0,13.0,23.0,18.0,8.0,3.0,5.0,6.0,7.0,7.0,5.0,7.0,3.0,5.0,5.0,5.0,7.0,8.0,6.0,3.0,2.0,2.0,,,3.0,2.0,3.0,2.0,3.0,1.0,,1.0,,3.0,2.0,3.0,7.0,8.0,2.0,5.0,7.0,2.0,2.0
Peñalolén,NINGUNA,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,
Pichidegua,CAPREDENA,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichidegua,FONASA,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichilemu,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
Pichilemu,FONASA,1.0,1.0,,3.0,1.0,,,,,,1.0,2.0,,2.0,4.0,2.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
Pichilemu,ISAPRE,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
Pirque,DESCONOCIDO,,,,,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,2.0,,2.0,,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,,,1.0,1.0,,1.0,,2.0,3.0,2.0,3.0,3.0,2.0,,,,,,,,,,,1.0,,,,,,
Pirque,FONASA,3.0,8.0,7.0,8.0,14.0,8.0,7.0,6.0,7.0,8.0,10.0,11.0,11.0,13.0,10.0,7.0,7.0,24.0,16.0,11.0,10.0,8.0,6.0,8.0,8.0,2.0,6.0,5.0,2.0,1.0,1.0,3.0,3.0,7.0,2.0,13.0,3.0,7.0,3.0,8.0,8.0,4.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,,
Pirque,ISAPRE,1.0,1.0,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0
Pirque,NINGUNA,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Pozo Almonte,DESCONOCIDO,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozo Almonte,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providencia,DESCONOCIDO,3.0,1.0,2.0,5.0,7.0,8.0,4.0,5.0,3.0,2.0,3.0,8.0,7.0,3.0,4.0,5.0,4.0,13.0,15.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,7.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0,6.0,5.0,8.0,6.0,7.0,9.0
Providencia,FONASA,14.0,11.0,17.0,20.0,17.0,21.0,15.0,11.0,20.0,16.0,12.0,23.0,22.0,20.0,15.0,27.0,21.0,38.0,33.0,15.0,10.0,7.0,7.0,7.0,8.0,9.0,6.0,5.0,2.0,4.0,6.0,4.0,10.0,9.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,7.0,6.0,5.0,3.0,3.0,3.0,1.0,4.0,5.0,1.0,4.0,4.0,1.0,10.0
Providencia,ISAPRE,19.0,17.0,27.0,34.0,43.0,34.0,41.0,43.0,44.0,37.0,31.0,40.0,33.0,28.0,25.0,20.0,22.0,47.0,29.0,17.0,11.0,12.0,19.0,15.0,10.0,8.0,9.0,6.0,4.0,11.0,6.0,8.0,10.0,11.0,10.0,8.0,9.0,12.0,11.0,8.0,7.0,9.0,8.0,10.0,7.0,7.0,6.0,4.0,5.0,5.0,4.0,8.0,11.0,17.0,8.0,9.0,12.0,8.0
Providencia,NINGUNA,2.0,1.0,1.0,2.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,,,,4.0,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0
Puchuncaví,DESCONOCIDO,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puchuncaví,FONASA,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Puchuncaví,ISAPRE,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pucón,DESCONOCIDO,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pucón,FONASA,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudahuel,CAPREDENA,,,,,,,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudahuel,DESCONOCIDO,5.0,1.0,3.0,2.0,3.0,10.0,6.0,2.0,5.0,5.0,8.0,3.0,5.0,4.0,4.0,8.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,6.0,7.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,,2.0,,,,,,,1.0,1.0,6.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,,2.0
Pudahuel,FONASA,38.0,26.0,36.0,50.0,49.0,45.0,33.0,38.0,46.0,49.0,53.0,40.0,45.0,54.0,48.0,36.0,41.0,65.0,53.0,22.0,22.0,21.0,26.0,16.0,15.0,17.0,19.0,19.0,24.0,12.0,12.0,7.0,10.0,13.0,6.0,6.0,12.0,10.0,7.0,6.0,5.0,3.0,6.0,5.0,2.0,13.0,7.0,5.0,6.0,4.0,5.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0
Pudahuel,ISAPRE,10.0,8.0,14.0,14.0,15.0,17.0,14.0,11.0,13.0,12.0,7.0,15.0,10.0,11.0,13.0,14.0,13.0,16.0,8.0,4.0,5.0,5.0,5.0,7.0,7.0,6.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,,2.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,,1.0,2.0,,
Pudahuel,NINGUNA,,1.0,1.0,,,,1.0,,1.0,,,2.0,1.0,2.0,2.0,1.0,1.0,,,2.0,2.0,4.0,2.0,2.0,3.0,1.0,,1.0,,,4.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Puente Alto,CAPREDENA,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
Puente Alto,DESCONOCIDO,3.0,6.0,11.0,10.0,30.0,42.0,22.0,20.0,24.0,26.0,29.0,27.0,28.0,24.0,21.0,25.0,20.0,36.0,30.0,10.0,12.0,14.0,16.0,26.0,13.0,17.0,13.0,5.0,6.0,14.0,6.0,6.0,8.0,10.0,8.0,4.0,6.0,5.0,3.0,7.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0
Puente Alto,DIPRECA,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Puente Alto,FONASA,98.0,127.0,144.0,149.0,175.0,173.0,155.0,169.0,182.0,179.0,198.0,178.0,172.0,143.0,148.0,130.0,107.0,221.0,182.0,68.0,67.0,63.0,76.0,86.0,81.0,63.0,63.0,39.0,54.0,62.0,61.0,62.0,76.0,41.0,46.0,46.0,51.0,49.0,43.0,41.0,34.0,31.0,23.0,33.0,35.0,26.0,27.0,22.0,19.0,18.0,17.0,31.0,30.0,15.0,24.0,30.0,16.0,24.0
Puente Alto,ISAPRE,22.0,21.0,21.0,19.0,25.0,29.0,32.0,33.0,33.0,32.0,29.0,29.0,35.0,25.0,26.0,23.0,27.0,44.0,34.0,14.0,14.0,11.0,10.0,15.0,17.0,16.0,19.0,15.0,11.0,10.0,12.0,10.0,4.0,6.0,4.0,3.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,4.0,2.0,5.0,9.0,7.0,8.0,5.0,6.0,5.0,4.0,8.0,8.0,7.0,2.0,3.0
Puente Alto,NINGUNA,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,,2.0,,1.0,,,,1.0,1.0,,1.0,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,
Puente Alto,SISA,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Montt,DESCONOCIDO,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,
Puerto Montt,FONASA,1.0,,1.0,,,,,,,,,,,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,1.0,2.0,,1.0,,1.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,,,1.0,1.0,,,1.0,,,,,
Puerto Montt,ISAPRE,,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,3.0,1.0,,,2.0,,,,,,,,,,,,
Puerto Montt,NINGUNA,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Puerto Octay,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Varas,DESCONOCIDO,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
Puerto Varas,FONASA,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Pumanque,FONASA,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punta Arenas,DESCONOCIDO,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Punta Arenas,FONASA,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Punta Arenas,ISAPRE,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Purén,FONASA,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Puyehue,FONASA,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quellón,ISAPRE,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilaco,FONASA,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilicura,DESCONOCIDO,2.0,3.0,5.0,5.0,6.0,5.0,2.0,3.0,1.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,7.0,7.0,6.0,2.0,1.0,4.0,3.0,7.0,5.0,5.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Quilicura,FONASA,38.0,39.0,39.0,42.0,46.0,51.0,55.0,65.0,61.0,58.0,72.0,74.0,77.0,76.0,73.0,58.0,69.0,106.0,98.0,36.0,31.0,15.0,21.0,18.0,17.0,32.0,20.0,18.0,19.0,21.0,21.0,21.0,14.0,14.0,12.0,15.0,17.0,20.0,16.0,18.0,22.0,21.0,16.0,14.0,12.0,19.0,8.0,9.0,7.0,10.0,11.0,12.0,18.0,16.0,18.0,20.0,12.0,11.0
Quilicura,ISAPRE,9.0,6.0,9.0,12.0,15.0,21.0,16.0,16.0,17.0,19.0,20.0,21.0,23.0,21.0,17.0,12.0,20.0,30.0,28.0,9.0,6.0,5.0,8.0,8.0,9.0,12.0,9.0,8.0,10.0,11.0,9.0,6.0,6.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,,2.0,,5.0,3.0,,5.0,4.0
Quilicura,NINGUNA,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Quillota,FONASA,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
Quillota,ISAPRE,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
Quilpue,FONASA,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,3.0,1.0
Quilpue,ISAPRE,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,
Quilpue,NINGUNA,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta Normal,DESCONOCIDO,2.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,5.0,12.0,5.0,5.0,8.0,5.0,3.0,4.0,4.0,8.0,8.0,7.0,4.0,3.0,4.0,7.0,3.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,4.0,3.0,2.0,2.0,,,1.0,2.0,,,3.0,3.0,3.0,2.0,1.0
Quinta Normal,FONASA,38.0,24.0,28.0,38.0,32.0,22.0,28.0,29.0,35.0,35.0,54.0,51.0,54.0,38.0,33.0,31.0,37.0,66.0,45.0,24.0,16.0,17.0,16.0,26.0,16.0,15.0,17.0,18.0,15.0,13.0,14.0,13.0,18.0,12.0,11.0,12.0,5.0,6.0,5.0,4.0,1.0,3.0,7.0,6.0,8.0,6.0,4.0,4.0,2.0,4.0,6.0,6.0,2.0,7.0,8.0,7.0,7.0,6.0
Quinta Normal,ISAPRE,4.0,6.0,10.0,10.0,10.0,6.0,6.0,6.0,5.0,3.0,5.0,4.0,3.0,4.0,6.0,5.0,5.0,11.0,11.0,4.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,,,3.0,6.0,1.0,,1.0,,,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,
Quinta Normal,NINGUNA,,,,1.0,,,4.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,
Quintero,DESCONOCIDO,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintero,FONASA,3.0,2.0,,,,1.0,1.0,3.0,2.0,,2.0,,,,1.0,3.0,,,,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rancagua,DESCONOCIDO,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Rancagua,FONASA,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,2.0,3.0,,,,,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Rancagua,ISAPRE,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauco,FONASA,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recoleta,CAPREDENA,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Recoleta,DESCONOCIDO,,,,,1.0,,2.0,1.0,,3.0,2.0,7.0,6.0,1.0,,2.0,,5.0,7.0,,,,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,
Recoleta,FONASA,27.0,21.0,43.0,38.0,41.0,33.0,26.0,40.0,29.0,33.0,38.0,37.0,42.0,38.0,49.0,44.0,44.0,75.0,62.0,20.0,15.0,14.0,25.0,29.0,28.0,30.0,23.0,25.0,23.0,27.0,22.0,24.0,28.0,16.0,13.0,21.0,16.0,17.0,20.0,23.0,18.0,14.0,12.0,16.0,15.0,10.0,6.0,11.0,9.0,8.0,10.0,13.0,10.0,6.0,10.0,6.0,4.0,6.0
Recoleta,ISAPRE,6.0,7.0,7.0,4.0,8.0,9.0,9.0,10.0,6.0,9.0,9.0,9.0,6.0,3.0,2.0,4.0,12.0,22.0,26.0,9.0,7.0,7.0,10.0,6.0,6.0,7.0,5.0,4.0,3.0,7.0,7.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,6.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,,2.0
Recoleta,NINGUNA,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,
Renca,CAPREDENA,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renca,DESCONOCIDO,,,1.0,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,5.0,,,,,,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Renca,FONASA,16.0,15.0,17.0,34.0,25.0,35.0,23.0,18.0,27.0,30.0,28.0,18.0,18.0,9.0,14.0,12.0,12.0,45.0,44.0,18.0,7.0,8.0,5.0,11.0,14.0,6.0,5.0,5.0,8.0,11.0,14.0,7.0,8.0,4.0,2.0,2.0,6.0,7.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,,,,6.0
Renca,ISAPRE,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,,2.0,2.0,3.0,2.0,3.0,5.0,7.0,4.0,1.0,,,,1.0,1.0,2.0,,1.0,3.0,,,,1.0,,,,,1.0,,,,1.0,,,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,1.0,2.0
Renca,NINGUNA,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rengo,FONASA,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Requínoa,FONASA,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Retiro,FONASA,,,,,,,,,,,,,,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeral,FONASA,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Río Claro,FONASA,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
