comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21
Quinta Normal,43.0,61.0,36.0,53.0,36.0,13.0,91.0,100.0,55.0,90.0,92.0,69.0,58.0,63.0,70.0,78.0,56.0,54.0,64.0,86.0,63.0,43.0,77.0,80.0,56.0,48.0,68.0,84.0,60.0,74.0,93.0,60.0,79.0,57.0,54.0,62.0,40.0,31.0,28.0,21.0,25.0,28.0,17.0,15.0,43.0,20.0,4.0,47.0,22.0,13.0,21.0
Recoleta,37.0,61.0,32.0,34.0,35.0,34.0,45.0,47.0,53.0,62.0,63.0,69.0,57.0,55.0,91.0,67.0,39.0,96.0,66.0,72.0,89.0,59.0,78.0,106.0,59.0,54.0,83.0,59.0,66.0,67.0,56.0,56.0,87.0,54.0,69.0,81.0,27.0,32.0,33.0,36.0,33.0,34.0,50.0,32.0,19.0,36.0,24.0,14.0,29.0,18.0,18.0
Renca,73.0,42.0,36.0,48.0,50.0,42.0,116.0,77.0,136.0,136.0,89.0,131.0,179.0,110.0,114.0,137.0,143.0,132.0,75.0,126.0,112.0,84.0,106.0,112.0,60.0,72.0,103.0,74.0,53.0,73.0,67.0,47.0,51.0,62.0,58.0,57.0,38.0,44.0,27.0,44.0,19.0,28.0,43.0,23.0,24.0,22.0,20.0,48.0,25.0,22.0,49.0
Requínoa,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,
Retiro,1.0,,,,,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeral,1.0,,,,1.0,,,,,,,,2.0,,,2.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,
San Antonio,,,,5.0,,,,,,,1.0,,1.0,3.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
San Bernardo,70.0,57.0,63.0,64.0,64.0,46.0,109.0,133.0,103.0,90.0,108.0,93.0,101.0,105.0,80.0,119.0,125.0,100.0,126.0,120.0,141.0,135.0,113.0,168.0,104.0,115.0,166.0,129.0,113.0,109.0,118.0,76.0,67.0,85.0,70.0,72.0,45.0,60.0,26.0,46.0,36.0,37.0,56.0,46.0,45.0,49.0,40.0,34.0,41.0,22.0,26.0
San Clemente,2.0,,,1.0,1.0,1.0,1.0,,3.0,2.0,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,
San Joaquín,37.0,30.0,17.0,17.0,32.0,21.0,23.0,47.0,32.0,42.0,41.0,22.0,45.0,35.0,43.0,65.0,28.0,46.0,68.0,47.0,35.0,37.0,53.0,39.0,28.0,33.0,30.0,34.0,31.0,45.0,27.0,18.0,35.0,35.0,16.0,21.0,13.0,10.0,21.0,14.0,3.0,6.0,11.0,6.0,7.0,8.0,16.0,10.0,14.0,7.0,3.0
San José de Maipo,10.0,,8.0,9.0,4.0,,2.0,2.0,1.0,,4.0,5.0,5.0,11.0,6.0,11.0,17.0,8.0,10.0,8.0,8.0,9.0,10.0,2.0,7.0,9.0,2.0,3.0,1.0,1.0,,,2.0,4.0,,2.0,3.0,4.0,2.0,,,2.0,,,,,,,,1.0,
