cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10
Pedro Aguirre Cerda,19.0,27.0,31.0,24.0,34.0,32.0,52.0,45.0,64.0,40.0,49.0,59.0,27.0,43.0,53.0,37.0,56.0,46.0,35.0,67.0,65.0,40.0,64.0,70.0,64.0,54.0,64.0,65.0,31.0,48.0,52.0,31.0,33.0,28.0,34.0,30.0,23.0,28.0,16.0,16.0,8.0,6.0,6.0,7.0,8.0,1.0,16.0,8.0,7.0,15.0,14.0,9.0,4.0,12.0,15.0,7.0,11.0,10.0,8.0,14.0,8.0,6.0,15.0,7.0,6.0,17.0,20.0,16.0,19.0,38.0,35.0
Pelluhue,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
Pemuco,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penco,,,,,,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petorca,,1.0,,,1.0,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Peñaflor,22.0,27.0,28.0,27.0,21.0,22.0,55.0,35.0,60.0,87.0,47.0,58.0,71.0,49.0,38.0,55.0,38.0,27.0,66.0,53.0,40.0,50.0,52.0,41.0,25.0,38.0,39.0,32.0,42.0,44.0,48.0,30.0,47.0,36.0,24.0,35.0,22.0,22.0,10.0,14.0,15.0,16.0,25.0,18.0,46.0,26.0,7.0,45.0,20.0,18.0,7.0,10.0,13.0,9.0,17.0,3.0,11.0,19.0,10.0,4.0,9.0,9.0,7.0,16.0,13.0,7.0,14.0,15.0,18.0,18.0,20.0
Peñalolén,68.0,62.0,46.0,33.0,49.0,39.0,93.0,101.0,102.0,96.0,110.0,83.0,94.0,99.0,76.0,91.0,118.0,87.0,115.0,145.0,105.0,139.0,94.0,164.0,111.0,64.0,127.0,89.0,81.0,97.0,107.0,100.0,96.0,94.0,79.0,64.0,60.0,38.0,27.0,46.0,25.0,25.0,39.0,15.0,50.0,39.0,24.0,47.0,13.0,27.0,19.0,9.0,10.0,15.0,37.0,26.0,37.0,32.0,29.0,51.0,36.0,27.0,59.0,45.0,44.0,66.0,38.0,74.0,67.0,59.0,92.0
Pica,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Pichilemu,,1.0,1.0,2.0,,1.0,,4.0,5.0,,6.0,5.0,1.0,5.0,1.0,2.0,3.0,4.0,,1.0,4.0,3.0,1.0,5.0,4.0,1.0,4.0,3.0,1.0,6.0,,1.0,8.0,,,5.0,2.0,,1.0,,1.0,,5.0,1.0,3.0,3.0,,4.0,,,1.0,2.0,,,3.0,,,,2.0,,,3.0,,,2.0,,,3.0,,4.0,2.0
Pirque,11.0,13.0,10.0,17.0,16.0,5.0,13.0,9.0,15.0,10.0,8.0,7.0,14.0,4.0,10.0,19.0,11.0,10.0,22.0,28.0,18.0,46.0,31.0,24.0,18.0,18.0,12.0,21.0,32.0,10.0,15.0,30.0,23.0,15.0,27.0,25.0,20.0,21.0,16.0,17.0,4.0,13.0,29.0,3.0,1.0,19.0,3.0,,10.0,5.0,,12.0,6.0,6.0,3.0,13.0,2.0,3.0,15.0,4.0,10.0,15.0,12.0,10.0,9.0,6.0,5.0,10.0,4.0,8.0,20.0
Providencia,20.0,17.0,16.0,17.0,21.0,11.0,47.0,55.0,56.0,51.0,60.0,46.0,50.0,67.0,39.0,56.0,61.0,57.0,56.0,64.0,50.0,54.0,50.0,53.0,45.0,46.0,43.0,44.0,30.0,46.0,39.0,28.0,37.0,40.0,27.0,32.0,29.0,22.0,17.0,30.0,15.0,18.0,15.0,15.0,15.0,14.0,14.0,14.0,17.0,20.0,20.0,17.0,23.0,24.0,20.0,40.0,23.0,24.0,41.0,34.0,55.0,36.0,60.0,69.0,36.0,49.0,52.0,65.0,42.0,76.0,80.0
